#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,9.56,0.00,,,,
2,05/02/2025 00:10:00,9.52,0.00,,,,
3,05/02/2025 00:20:00,9.44,0.00,,,,
4,05/02/2025 00:30:00,8.79,0.00,,,,
5,05/02/2025 00:40:00,8.88,0.00,,,,
6,05/02/2025 00:50:00,9.22,0.00,,,,
7,05/02/2025 01:00:00,8.96,0.00,,,,
8,05/02/2025 01:10:00,9.09,0.00,,,,
9,05/02/2025 01:20:00,8.71,0.00,,,,
10,05/02/2025 01:30:00,8.96,0.00,,,,
11,05/02/2025 01:40:00,9.05,0.00,,,,
12,05/02/2025 01:50:00,8.71,0.00,,,,
13,05/02/2025 02:00:00,8.75,0.00,,,,
14,05/02/2025 02:10:00,8.53,0.00,,,,
15,05/02/2025 02:20:00,8.71,0.00,,,,
16,05/02/2025 02:30:00,8.71,0.00,,,,
17,05/02/2025 02:40:00,8.58,0.00,,,,
18,05/02/2025 02:50:00,8.62,0.00,,,,
19,05/02/2025 03:00:00,8.71,0.00,,,,
20,05/02/2025 03:10:00,8.75,0.00,,,,
21,05/02/2025 03:20:00,8.79,0.00,,,,
22,05/02/2025 03:30:00,8.75,0.00,,,,
23,05/02/2025 03:40:00,8.96,0.00,,,,
24,05/02/2025 03:50:00,9.31,0.00,,,,
25,05/02/2025 04:00:00,9.61,0.00,,,,
26,05/02/2025 04:10:00,9.44,0.00,,,,
27,05/02/2025 04:20:00,9.22,0.00,,,,
28,05/02/2025 04:30:00,9.05,0.00,,,,
29,05/02/2025 04:40:00,9.35,0.21,,,,
30,05/02/2025 04:50:00,9.35,0.00,,,,
31,05/02/2025 05:00:00,9.31,0.21,,,,
32,05/02/2025 05:10:00,9.05,2.73,,,,
33,05/02/2025 05:20:00,9.35,13.52,,,,
34,05/02/2025 05:30:00,9.48,60.98,,,,
35,05/02/2025 05:40:00,9.39,225.44,,,,
36,05/02/2025 05:50:00,9.44,546.40,,,,
37,05/02/2025 06:00:00,9.35,1099.52,,,,
38,05/02/2025 06:10:00,9.61,1918.08,,,,
39,05/02/2025 06:20:00,9.52,2549.12,,,,
40,05/02/2025 06:30:00,9.56,2891.52,,,,
41,05/02/2025 06:40:00,10.12,4876.80,,,,
42,05/02/2025 06:50:00,10.42,4579.84,,,,
43,05/02/2025 07:00:00,11.28,6876.16,,,,
44,05/02/2025 07:10:00,12.05,6952.96,,,,
45,05/02/2025 07:20:00,13.00,7367.68,,,,
46,05/02/2025 07:30:00,13.17,8184.32,,,,
47,05/02/2025 07:40:00,14.33,10257.92,,,,
48,05/02/2025 07:50:00,14.88,10521.60,,,,
49,05/02/2025 08:00:00,16.81,11909.12,,,,
50,05/02/2025 08:10:00,17.76,14028.80,,,,
51,05/02/2025 08:20:00,20.93,26992.64,,,,
52,05/02/2025 08:30:00,28.44,35860.48,,,,
53,05/02/2025 08:40:00,24.36,18252.80,,,,
54,05/02/2025 08:50:00,23.38,14156.80,,,,
55,05/02/2025 09:00:00,23.59,37068.80,,,,
56,05/02/2025 09:10:00,31.70,38205.44,,,,
57,05/02/2025 09:20:00,34.75,43581.44,,,,
58,05/02/2025 09:30:00,34.66,44912.64,,,,
59,05/02/2025 09:40:00,35.99,47636.48,,,,
60,05/02/2025 09:50:00,38.14,49868.80,,,,
61,05/02/2025 10:00:00,38.52,52408.32,,,,
62,05/02/2025 10:10:00,39.29,54374.40,,,,
63,05/02/2025 10:20:00,38.95,56463.36,,,,
64,05/02/2025 10:30:00,39.42,58593.28,,,,
65,05/02/2025 10:40:00,38.82,60272.64,,,,
66,05/02/2025 10:50:00,38.61,62033.92,,,,
67,05/02/2025 11:00:00,40.11,64020.48,,,,
68,05/02/2025 11:10:00,40.54,65597.44,,,,
69,05/02/2025 11:20:00,39.38,67809.28,,,,
70,05/02/2025 11:30:00,40.58,69877.76,,,,
71,05/02/2025 11:40:00,39.55,70799.36,,,,
72,05/02/2025 11:50:00,42.04,79831.04,,,,
73,05/02/2025 12:00:00,31.31,17315.84,,,,
74,05/02/2025 12:10:00,35.00,37273.60,,,,
75,05/02/2025 12:20:00,37.32,78725.12,,,,
76,05/02/2025 12:30:00,40.02,78028.80,,,,
77,05/02/2025 12:40:00,40.15,72929.28,,,,
78,05/02/2025 12:50:00,41.05,78315.52,,,,
79,05/02/2025 13:00:00,41.35,80076.80,,,,
80,05/02/2025 13:10:00,41.44,79564.80,,,,
81,05/02/2025 13:20:00,42.85,86548.48,,,,
82,05/02/2025 13:30:00,45.13,85196.80,,,,
83,05/02/2025 13:40:00,42.51,81797.12,,,,
84,05/02/2025 13:50:00,36.03,76431.36,,,,
85,05/02/2025 14:00:00,40.58,83107.84,,,,
86,05/02/2025 14:10:00,41.65,22323.20,,,,
87,05/02/2025 14:20:00,36.72,20904.96,,,,
88,05/02/2025 14:30:00,36.55,80015.36,,,,
89,05/02/2025 14:40:00,41.78,77946.88,,,,
90,05/02/2025 14:50:00,33.63,21749.76,,,,
91,05/02/2025 15:00:00,33.63,30494.72,,,,
92,05/02/2025 15:10:00,38.91,74792.96,,,,
93,05/02/2025 15:20:00,41.95,72785.92,,,,
94,05/02/2025 15:30:00,42.00,66703.36,,,,
95,05/02/2025 15:40:00,35.30,67604.48,,,,
96,05/02/2025 15:50:00,31.83,17520.64,,,,
97,05/02/2025 16:00:00,29.94,21401.60,,,,
98,05/02/2025 16:10:00,31.96,24576.00,,,,
99,05/02/2025 16:20:00,36.33,61911.04,,,,
100,05/02/2025 16:30:00,41.78,60702.72,,,,
101,05/02/2025 16:40:00,38.95,54497.28,,,,
102,05/02/2025 16:50:00,39.72,54599.68,,,,
103,05/02/2025 17:00:00,39.21,49704.96,,,,
104,05/02/2025 17:10:00,35.52,13680.64,,,,
105,05/02/2025 17:20:00,27.07,10629.12,,,,
106,05/02/2025 17:30:00,29.17,19686.40,,,,
107,05/02/2025 17:40:00,35.78,44011.52,,,,
108,05/02/2025 17:50:00,34.36,32378.88,,,,
109,05/02/2025 18:00:00,35.78,38696.96,,,,
110,05/02/2025 18:10:00,36.42,39075.84,,,,
111,05/02/2025 18:20:00,34.49,29716.48,,,,
112,05/02/2025 18:30:00,27.71,9098.24,,,,
113,05/02/2025 18:40:00,33.67,28518.40,,,,
114,05/02/2025 18:50:00,30.59,15805.44,,,,
115,05/02/2025 19:00:00,27.07,9704.96,,,,
116,05/02/2025 19:10:00,25.27,7185.92,,,,
117,05/02/2025 19:20:00,23.46,5854.72,,,,
118,05/02/2025 19:30:00,22.09,4896.00,,,,
119,05/02/2025 19:40:00,21.49,3886.08,,,,
120,05/02/2025 19:50:00,21.10,3399.68,,,,
121,05/02/2025 20:00:00,20.46,2507.52,,,,
122,05/02/2025 20:10:00,19.13,1658.24,,,,
123,05/02/2025 20:20:00,17.76,958.08,,,,
124,05/02/2025 20:30:00,17.03,448.16,,,,
125,05/02/2025 20:40:00,16.51,193.20,,,,
126,05/02/2025 20:50:00,16.21,64.82,,,,
127,05/02/2025 21:00:00,15.53,17.78,,,,
128,05/02/2025 21:10:00,15.01,3.36,,,,
129,05/02/2025 21:20:00,14.88,0.21,,,,
130,05/02/2025 21:30:00,14.80,0.00,,,,
131,05/02/2025 21:40:00,15.36,0.00,,,,
132,05/02/2025 21:50:00,15.48,0.00,,,,
133,05/02/2025 22:00:00,15.78,0.00,,,,
134,05/02/2025 22:10:00,15.61,0.00,,,,
135,05/02/2025 22:20:00,15.40,0.00,,,,
136,05/02/2025 22:30:00,14.75,0.00,,,,
137,05/02/2025 22:40:00,13.77,0.00,,,,
138,05/02/2025 22:50:00,12.82,0.00,,,,
139,05/02/2025 23:00:00,13.43,0.00,,,,
140,05/02/2025 23:10:00,13.47,0.00,,,,
141,05/02/2025 23:20:00,13.00,0.00,,,,
142,05/02/2025 23:30:00,12.44,0.00,,,,
143,05/02/2025 23:40:00,11.67,0.00,,,,
144,05/02/2025 23:50:00,11.11,0.00,,,,
145,05/03/2025 00:00:00,11.24,0.00,,,,
146,05/03/2025 00:10:00,11.45,0.00,,,,
147,05/03/2025 00:20:00,11.24,0.00,,,,
148,05/03/2025 00:30:00,11.15,0.00,,,,
149,05/03/2025 00:40:00,10.89,0.00,,,,
150,05/03/2025 00:50:00,10.29,0.00,,,,
151,05/03/2025 01:00:00,10.08,0.00,,,,
152,05/03/2025 01:10:00,9.86,0.00,,,,
153,05/03/2025 01:20:00,9.95,0.00,,,,
154,05/03/2025 01:30:00,9.91,0.00,,,,
155,05/03/2025 01:40:00,9.78,0.00,,,,
156,05/03/2025 01:50:00,9.48,0.00,,,,
157,05/03/2025 02:00:00,9.61,0.00,,,,
158,05/03/2025 02:10:00,9.35,0.00,,,,
159,05/03/2025 02:20:00,9.35,0.00,,,,
160,05/03/2025 02:30:00,9.39,0.00,,,,
161,05/03/2025 02:40:00,9.44,0.00,,,,
162,05/03/2025 02:50:00,9.74,0.00,,,,
163,05/03/2025 03:00:00,10.04,0.00,,,,
164,05/03/2025 03:10:00,10.42,0.00,,,,
165,05/03/2025 03:20:00,10.51,0.00,,,,
166,05/03/2025 03:30:00,10.77,0.00,,,,
167,05/03/2025 03:40:00,10.72,0.00,,,,
168,05/03/2025 03:50:00,10.72,0.00,,,,
169,05/03/2025 04:00:00,10.38,0.00,,,,
170,05/03/2025 04:10:00,10.34,0.00,,,,
171,05/03/2025 04:20:00,10.25,0.00,,,,
172,05/03/2025 04:30:00,10.21,0.00,,,,
173,05/03/2025 04:40:00,10.38,0.21,,,,
174,05/03/2025 04:50:00,10.59,0.00,,,,
175,05/03/2025 05:00:00,10.55,0.21,,,,
176,05/03/2025 05:10:00,10.64,2.31,,,,
177,05/03/2025 05:20:00,10.59,9.70,,,,
178,05/03/2025 05:30:00,10.81,31.78,,,,
179,05/03/2025 05:40:00,11.02,128.80,,,,
180,05/03/2025 05:50:00,10.94,418.40,,,,
181,05/03/2025 06:00:00,10.77,807.68,,,,
182,05/03/2025 06:10:00,10.72,1409.92,,,,
183,05/03/2025 06:20:00,11.11,1445.76,,,,
184,05/03/2025 06:30:00,10.72,2321.92,,,,
185,05/03/2025 06:40:00,11.32,4371.20,,,,
186,05/03/2025 06:50:00,11.92,4007.68,,,,
187,05/03/2025 07:00:00,11.92,5038.08,,,,
188,05/03/2025 07:10:00,12.87,8135.68,,,,
189,05/03/2025 07:20:00,13.55,7966.72,,,,
190,05/03/2025 07:30:00,13.60,9118.72,,,,
191,05/03/2025 07:40:00,15.74,15006.72,,,,
192,05/03/2025 07:50:00,15.23,10291.20,,,,
193,05/03/2025 08:00:00,16.90,14858.24,,,,
194,05/03/2025 08:10:00,17.97,16496.64,,,,
195,05/03/2025 08:20:00,19.82,20582.40,,,,
196,05/03/2025 08:30:00,17.93,11120.64,,,,
197,05/03/2025 08:40:00,17.63,16465.92,,,,
198,05/03/2025 08:50:00,17.93,15313.92,,,,
199,05/03/2025 09:00:00,19.95,20864.00,,,,
200,05/03/2025 09:10:00,20.68,30627.84,,,,
201,05/03/2025 09:20:00,23.76,24227.84,,,,
202,05/03/2025 09:30:00,22.09,26664.96,,,,
203,05/03/2025 09:40:00,23.72,31057.92,,,,
204,05/03/2025 09:50:00,22.52,30627.84,,,,
205,05/03/2025 10:00:00,26.34,37519.36,,,,
206,05/03/2025 10:10:00,24.84,35389.44,,,,
207,05/03/2025 10:20:00,24.97,35389.44,,,,
208,05/03/2025 10:30:00,24.97,35061.76,,,,
209,05/03/2025 10:40:00,23.59,24002.56,,,,
210,05/03/2025 10:50:00,21.45,21882.88,,,,
211,05/03/2025 11:00:00,20.72,19968.00,,,,
212,05/03/2025 11:10:00,21.88,31590.40,,,,
213,05/03/2025 11:20:00,20.29,12902.40,,,,
214,05/03/2025 11:30:00,18.27,12559.36,,,,
215,05/03/2025 11:40:00,17.20,8816.64,,,,
216,05/03/2025 11:50:00,16.21,6297.60,,,,
217,05/03/2025 12:00:00,16.13,8284.16,,,,
218,05/03/2025 12:10:00,16.00,6405.12,,,,
219,05/03/2025 12:20:00,15.78,5742.08,,,,
220,05/03/2025 12:30:00,15.91,8202.24,,,,
221,05/03/2025 12:40:00,17.76,16332.80,,,,
222,05/03/2025 12:50:00,18.02,8440.32,,,,
223,05/03/2025 13:00:00,18.36,17029.12,,,,
224,05/03/2025 13:10:00,20.68,20403.20,,,,
225,05/03/2025 13:20:00,21.58,22179.84,,,,
226,05/03/2025 13:30:00,21.36,18421.76,,,,
227,05/03/2025 13:40:00,20.42,11724.80,,,,
228,05/03/2025 13:50:00,20.80,18810.88,,,,
229,05/03/2025 14:00:00,22.69,30146.56,,,,
230,05/03/2025 14:10:00,26.21,45035.52,,,,
231,05/03/2025 14:20:00,25.61,34283.52,,,,
232,05/03/2025 14:30:00,23.29,21299.20,,,,
233,05/03/2025 14:40:00,21.58,26808.32,,,,
234,05/03/2025 14:50:00,27.88,47738.88,,,,
235,05/03/2025 15:00:00,27.97,48619.52,,,,
236,05/03/2025 15:10:00,27.24,37140.48,,,,
237,05/03/2025 15:20:00,24.71,28057.60,,,,
238,05/03/2025 15:30:00,24.15,22906.88,,,,
239,05/03/2025 15:40:00,23.16,25395.20,,,,
240,05/03/2025 15:50:00,27.28,63877.12,,,,
241,05/03/2025 16:00:00,25.44,22927.36,,,,
242,05/03/2025 16:10:00,23.89,25313.28,,,,
243,05/03/2025 16:20:00,23.08,18641.92,,,,
244,05/03/2025 16:30:00,22.69,23183.36,,,,
245,05/03/2025 16:40:00,25.74,28784.64,,,,
246,05/03/2025 16:50:00,25.52,41338.88,,,,
247,05/03/2025 17:00:00,28.70,21903.36,,,,
248,05/03/2025 17:10:00,22.73,17617.92,,,,
249,05/03/2025 17:20:00,23.68,26818.56,,,,
250,05/03/2025 17:30:00,32.99,61317.12,,,,
251,05/03/2025 17:40:00,33.16,59801.60,,,,
252,05/03/2025 17:50:00,30.20,56729.60,,,,
253,05/03/2025 18:00:00,23.59,17213.44,,,,
254,05/03/2025 18:10:00,22.56,34846.72,,,,
255,05/03/2025 18:20:00,21.58,8371.20,,,,
256,05/03/2025 18:30:00,19.17,9402.88,,,,
257,05/03/2025 18:40:00,20.16,11473.92,,,,
258,05/03/2025 18:50:00,19.69,10726.40,,,,
259,05/03/2025 19:00:00,18.19,6924.80,,,,
260,05/03/2025 19:10:00,17.84,5544.96,,,,
261,05/03/2025 19:20:00,17.76,5135.36,,,,
262,05/03/2025 19:30:00,16.90,1244.48,,,,
263,05/03/2025 19:40:00,16.34,953.92,,,,
264,05/03/2025 19:50:00,16.34,32.57,,,,
265,05/03/2025 20:00:00,13.34,52.88,,,,
266,05/03/2025 20:10:00,12.01,55.46,,,,
267,05/03/2025 20:20:00,11.71,47.82,,,,
268,05/03/2025 20:30:00,11.54,8.65,,,,
269,05/03/2025 20:40:00,11.45,3.99,,,,
270,05/03/2025 20:50:00,11.41,1.47,,,,
271,05/03/2025 21:00:00,11.41,0.21,,,,
272,05/03/2025 21:10:00,11.37,0.00,,,,
273,05/03/2025 21:20:00,11.28,0.00,,,,
274,05/03/2025 21:30:00,11.28,0.00,,,,
275,05/03/2025 21:40:00,11.37,0.00,,,,
276,05/03/2025 21:50:00,11.28,0.00,,,,
277,05/03/2025 22:00:00,11.19,0.00,,,,
278,05/03/2025 22:10:00,11.11,0.00,,,,
279,05/03/2025 22:20:00,10.68,0.00,,,,
280,05/03/2025 22:30:00,10.85,0.00,,,,
281,05/03/2025 22:40:00,10.94,0.00,,,,
282,05/03/2025 22:50:00,10.68,0.00,,,,
283,05/03/2025 23:00:00,10.77,0.00,,,,
284,05/03/2025 23:10:00,10.16,0.00,,,,
285,05/03/2025 23:20:00,9.69,0.00,,,,
286,05/03/2025 23:30:00,9.99,0.00,,,,
287,05/03/2025 23:40:00,10.38,0.00,,,,
288,05/03/2025 23:50:00,10.72,0.00,,,,
289,05/04/2025 00:00:00,10.89,0.00,,,,
290,05/04/2025 00:10:00,11.11,0.00,,,,
291,05/04/2025 00:20:00,10.98,0.00,,,,
292,05/04/2025 00:30:00,10.72,0.00,,,,
293,05/04/2025 00:40:00,10.77,0.00,,,,
294,05/04/2025 00:50:00,10.81,0.00,,,,
295,05/04/2025 01:00:00,10.72,0.00,,,,
296,05/04/2025 01:10:00,10.59,0.00,,,,
297,05/04/2025 01:20:00,10.51,0.00,,,,
298,05/04/2025 01:30:00,10.29,0.00,,,,
299,05/04/2025 01:40:00,10.12,0.00,,,,
300,05/04/2025 01:50:00,10.16,0.00,,,,
301,05/04/2025 02:00:00,10.16,0.00,,,,
302,05/04/2025 02:10:00,9.99,0.00,,,,
303,05/04/2025 02:20:00,9.69,0.00,,,,
304,05/04/2025 02:30:00,9.48,0.00,,,,
305,05/04/2025 02:40:00,9.22,0.00,,,,
306,05/04/2025 02:50:00,8.92,0.00,,,,
307,05/04/2025 03:00:00,8.79,0.00,,,,
308,05/04/2025 03:10:00,8.36,0.00,,,,
309,05/04/2025 03:20:00,8.06,0.00,,,,
310,05/04/2025 03:30:00,8.19,0.00,,,,
311,05/04/2025 03:40:00,8.02,0.00,,,,
312,05/04/2025 03:50:00,7.93,0.00,,,,
313,05/04/2025 04:00:00,8.41,0.00,,,,
314,05/04/2025 04:10:00,8.53,0.00,,,,
315,05/04/2025 04:20:00,8.58,0.00,,,,
316,05/04/2025 04:30:00,8.49,0.00,,,,
317,05/04/2025 04:40:00,8.49,0.00,,,,
318,05/04/2025 04:50:00,7.93,0.00,,,,
319,05/04/2025 05:00:00,6.60,0.84,,,,
320,05/04/2025 05:10:00,6.05,5.68,,,,
321,05/04/2025 05:20:00,5.62,27.10,,,,
322,05/04/2025 05:30:00,4.97,123.76,,,,
323,05/04/2025 05:40:00,4.72,367.04,,,,
324,05/04/2025 05:50:00,4.29,775.36,,,,
325,05/04/2025 06:00:00,4.37,1287.36,,,,
326,05/04/2025 06:10:00,5.23,2204.16,,,,
327,05/04/2025 06:20:00,5.40,2335.36,,,,
328,05/04/2025 06:30:00,6.17,2409.60,,,,
329,05/04/2025 06:40:00,6.05,4385.28,,,,
330,05/04/2025 06:50:00,6.05,5527.04,,,,
331,05/04/2025 07:00:00,6.00,6786.56,,,,
332,05/04/2025 07:10:00,6.69,7408.64,,,,
333,05/04/2025 07:20:00,5.66,5829.12,,,,
334,05/04/2025 07:30:00,5.40,6289.92,,,,
335,05/04/2025 07:40:00,6.52,9766.40,,,,
336,05/04/2025 07:50:00,8.75,18995.20,,,,
337,05/04/2025 08:00:00,9.14,14970.88,,,,
338,05/04/2025 08:10:00,8.06,13736.96,,,,
339,05/04/2025 08:20:00,8.79,16947.20,,,,
340,05/04/2025 08:30:00,15.10,51978.24,,,,
341,05/04/2025 08:40:00,11.41,31774.72,,,,
342,05/04/2025 08:50:00,15.10,56381.44,,,,
343,05/04/2025 09:00:00,10.51,13342.72,,,,
344,05/04/2025 09:10:00,10.51,16670.72,,,,
345,05/04/2025 09:20:00,11.37,56647.68,,,,
346,05/04/2025 09:30:00,12.82,21329.92,,,,
347,05/04/2025 09:40:00,11.11,17479.68,,,,
348,05/04/2025 09:50:00,14.03,30279.68,,,,
349,05/04/2025 10:00:00,11.88,17925.12,,,,
350,05/04/2025 10:10:00,11.75,23736.32,,,,
351,05/04/2025 10:20:00,13.90,33853.44,,,,
352,05/04/2025 10:30:00,14.88,35338.24,,,,
353,05/04/2025 10:40:00,14.80,32665.60,,,,
354,05/04/2025 10:50:00,17.03,34938.88,,,,
355,05/04/2025 11:00:00,15.61,38348.80,,,,
356,05/04/2025 11:10:00,16.08,29347.84,,,,
357,05/04/2025 11:20:00,16.86,46428.16,,,,
358,05/04/2025 11:30:00,16.21,26470.40,,,,
359,05/04/2025 11:40:00,17.54,39526.40,,,,
360,05/04/2025 11:50:00,18.32,31979.52,,,,
361,05/04/2025 12:00:00,14.63,18698.24,,,,
362,05/04/2025 12:10:00,13.77,20029.44,,,,
363,05/04/2025 12:20:00,21.70,104038.40,,,,
364,05/04/2025 12:30:00,22.78,22855.68,,,,
365,05/04/2025 12:40:00,15.66,21176.32,,,,
366,05/04/2025 12:50:00,17.89,40857.60,,,,
367,05/04/2025 13:00:00,18.40,23029.76,,,,
368,05/04/2025 13:10:00,16.51,29511.68,,,,
369,05/04/2025 13:20:00,21.58,50913.28,,,,
370,05/04/2025 13:30:00,20.12,33474.56,,,,
371,05/04/2025 13:40:00,21.06,45076.48,,,,
372,05/04/2025 13:50:00,20.12,36413.44,,,,
373,05/04/2025 14:00:00,20.25,44953.60,,,,
374,05/04/2025 14:10:00,21.28,31641.60,,,,
375,05/04/2025 14:20:00,29.34,80588.80,,,,
376,05/04/2025 14:30:00,30.93,89047.04,,,,
377,05/04/2025 14:40:00,33.37,101662.72,,,,
378,05/04/2025 14:50:00,23.42,39864.32,,,,
379,05/04/2025 15:00:00,21.19,23818.24,,,,
380,05/04/2025 15:10:00,20.42,27105.28,,,,
381,05/04/2025 15:20:00,17.41,19840.00,,,,
382,05/04/2025 15:30:00,31.66,90193.92,,,,
383,05/04/2025 15:40:00,24.84,35512.32,,,,
384,05/04/2025 15:50:00,22.52,30730.24,,,,
385,05/04/2025 16:00:00,22.01,20469.76,,,,
386,05/04/2025 16:10:00,24.19,21811.20,,,,
387,05/04/2025 16:20:00,23.08,19911.68,,,,
388,05/04/2025 16:30:00,26.47,25968.64,,,,
389,05/04/2025 16:40:00,19.30,23531.52,,,,
390,05/04/2025 16:50:00,17.07,13240.32,,,,
391,05/04/2025 17:00:00,15.06,10117.12,,,,
392,05/04/2025 17:10:00,15.10,18365.44,,,,
393,05/04/2025 17:20:00,26.60,59207.68,,,,
394,05/04/2025 17:30:00,21.83,14182.40,,,,
395,05/04/2025 17:40:00,14.24,10511.36,,,,
396,05/04/2025 17:50:00,16.81,50769.92,,,,
397,05/04/2025 18:00:00,24.54,45731.84,,,,
398,05/04/2025 18:10:00,24.24,39884.80,,,,
399,05/04/2025 18:20:00,24.62,37652.48,,,,
400,05/04/2025 18:30:00,24.32,35102.72,,,,
401,05/04/2025 18:40:00,23.76,33187.84,,,,
402,05/04/2025 18:50:00,16.81,12979.20,,,,
403,05/04/2025 19:00:00,11.41,5358.08,,,,
404,05/04/2025 19:10:00,10.77,6791.68,,,,
405,05/04/2025 19:20:00,9.44,5486.08,,,,
406,05/04/2025 19:30:00,9.01,5580.80,,,,
407,05/04/2025 19:40:00,9.05,4458.24,,,,
408,05/04/2025 19:50:00,8.19,3724.80,,,,
409,05/04/2025 20:00:00,7.72,3146.24,,,,
410,05/04/2025 20:10:00,7.33,1745.28,,,,
411,05/04/2025 20:20:00,6.73,1171.84,,,,
412,05/04/2025 20:30:00,6.00,718.40,,,,
413,05/04/2025 20:40:00,5.66,258.64,,,,
414,05/04/2025 20:50:00,5.96,87.36,,,,
415,05/04/2025 21:00:00,6.43,14.20,,,,
416,05/04/2025 21:10:00,6.78,3.15,,,,
417,05/04/2025 21:20:00,6.95,0.21,,,,
418,05/04/2025 21:30:00,6.90,0.00,,,,
419,05/04/2025 21:40:00,6.48,0.00,,,,
420,05/04/2025 21:50:00,6.30,0.00,,,,
421,05/04/2025 22:00:00,6.30,0.00,,,,
422,05/04/2025 22:10:00,6.09,0.00,,,,
423,05/04/2025 22:20:00,6.13,0.00,,,,
424,05/04/2025 22:30:00,6.35,0.00,,,,
425,05/04/2025 22:40:00,6.35,0.00,,,,
426,05/04/2025 22:50:00,6.48,0.00,,,,
427,05/04/2025 23:00:00,6.56,0.00,,,,
428,05/04/2025 23:10:00,6.52,0.00,,,,
429,05/04/2025 23:20:00,6.48,0.00,,,,
430,05/04/2025 23:30:00,6.30,0.00,,,,
431,05/04/2025 23:40:00,6.35,0.00,,,,
432,05/04/2025 23:50:00,6.09,0.00,,,,
433,05/05/2025 00:00:00,5.79,0.00,,,,
434,05/05/2025 00:10:00,5.83,0.00,,,,
435,05/05/2025 00:20:00,5.79,0.00,,,,
436,05/05/2025 00:30:00,5.75,0.00,,,,
437,05/05/2025 00:40:00,5.75,0.00,,,,
438,05/05/2025 00:50:00,5.57,0.00,,,,
439,05/05/2025 01:00:00,5.66,0.00,,,,
440,05/05/2025 01:10:00,5.79,0.00,,,,
441,05/05/2025 01:20:00,5.57,0.00,,,,
442,05/05/2025 01:30:00,5.53,0.00,,,,
443,05/05/2025 01:40:00,5.62,0.00,,,,
444,05/05/2025 01:50:00,5.57,0.00,,,,
445,05/05/2025 02:00:00,5.32,0.00,,,,
446,05/05/2025 02:10:00,5.19,0.00,,,,
447,05/05/2025 02:20:00,5.02,0.00,,,,
448,05/05/2025 02:30:00,4.84,0.00,,,,
449,05/05/2025 02:40:00,4.37,0.00,,,,
450,05/05/2025 02:50:00,3.99,0.00,,,,
451,05/05/2025 03:00:00,3.90,0.00,,,,
452,05/05/2025 03:10:00,3.82,0.00,,,,
453,05/05/2025 03:20:00,3.99,0.00,,,,
454,05/05/2025 03:30:00,4.12,0.00,,,,
455,05/05/2025 03:40:00,4.46,0.00,,,,
456,05/05/2025 03:50:00,4.42,0.00,,,,
457,05/05/2025 04:00:00,4.16,0.00,,,,
458,05/05/2025 04:10:00,3.64,0.00,,,,
459,05/05/2025 04:20:00,3.69,0.00,,,,
460,05/05/2025 04:30:00,3.43,0.00,,,,
461,05/05/2025 04:40:00,2.91,0.00,,,,
462,05/05/2025 04:50:00,2.36,0.00,,,,
463,05/05/2025 05:00:00,1.88,1.47,,,,
464,05/05/2025 05:10:00,1.93,7.84,,,,
465,05/05/2025 05:20:00,1.54,37.73,,,,
466,05/05/2025 05:30:00,1.46,140.80,,,,
467,05/05/2025 05:40:00,1.50,371.20,,,,
468,05/05/2025 05:50:00,1.33,768.32,,,,
469,05/05/2025 06:00:00,0.98,1293.12,,,,
470,05/05/2025 06:10:00,0.94,2033.92,,,,
471,05/05/2025 06:20:00,1.16,2904.32,,,,
472,05/05/2025 06:30:00,2.06,3875.84,,,,
473,05/05/2025 06:40:00,2.49,4340.48,,,,
474,05/05/2025 06:50:00,2.74,4684.80,,,,
475,05/05/2025 07:00:00,3.13,6092.80,,,,
476,05/05/2025 07:10:00,3.86,7490.56,,,,
477,05/05/2025 07:20:00,4.29,6533.12,,,,
478,05/05/2025 07:30:00,4.76,8688.64,,,,
479,05/05/2025 07:40:00,7.42,14776.32,,,,
480,05/05/2025 07:50:00,9.99,16844.80,,,,
481,05/05/2025 08:00:00,10.34,13296.64,,,,
482,05/05/2025 08:10:00,8.58,9018.88,,,,
483,05/05/2025 08:20:00,8.58,10332.16,,,,
484,05/05/2025 08:30:00,9.52,12026.88,,,,
485,05/05/2025 08:40:00,10.38,15334.40,,,,
486,05/05/2025 08:50:00,11.75,21237.76,,,,
487,05/05/2025 09:00:00,13.38,21350.40,,,,
488,05/05/2025 09:10:00,13.73,23992.32,,,,
489,05/05/2025 09:20:00,15.01,27310.08,,,,
490,05/05/2025 09:30:00,14.80,16634.88,,,,
491,05/05/2025 09:40:00,12.52,13475.84,,,,
492,05/05/2025 09:50:00,10.64,15764.48,,,,
493,05/05/2025 10:00:00,11.28,18365.44,,,,
494,05/05/2025 10:10:00,11.41,30750.72,,,,
495,05/05/2025 10:20:00,13.17,23173.12,,,,
496,05/05/2025 10:30:00,14.41,23541.76,,,,
497,05/05/2025 10:40:00,17.11,36352.00,,,,
498,05/05/2025 10:50:00,18.36,60538.88,,,,
499,05/05/2025 11:00:00,19.26,64593.92,,,,
500,05/05/2025 11:10:00,17.80,72437.76,,,,
501,05/05/2025 11:20:00,26.12,42557.44,,,,
502,05/05/2025 11:30:00,19.99,79912.96,,,,
503,05/05/2025 11:40:00,22.73,46223.36,,,,
504,05/05/2025 11:50:00,28.10,78295.04,,,,
505,05/05/2025 12:00:00,20.37,23900.16,,,,
