plot ID,site,arbeitsname,Name,Betula_pendula_TL,Picea_abies_TL,Pinus_sylvestris_TL,Betula_pubescens_TL,Agrostis_capillaris_HL,Agrostis_stolonifera_HL,Betula_HL,Brachypodium_sylvaticum_HL,Calamagrostis_epigejos_HL,Callitriche_palustris_HL,Calluna_vulgaris_HL,Carex_canescens_HL,Carex_echinata_HL,Carex_nigra_HL,Carex_pilulifera_HL,Carex_rostrata_HL,Deschampsia_cespitosa_HL,Digitalis_purpurea_HL,Dryopteris_carthusiana_HL,Epilobium_angustifolium_HL,Eriophorum_angustifolium_HL,Frangula_alnus_HL,Holcus_lanatus_HL,Juncus_bulbosus_HL,Juncus_effusus_HL,Luzula_multiflora_HL,Luzula_pilosa_HL,Lycopus_europaeus_HL,Molinia_caerulea_HL,Picea_abies_HL,Pinus_sylvestris_HL,Pteridium_aquilinum_HL,Quercus_robur_HL,Rubus_caesius_HL,Salix_aurita_HL,Schedonorus_giganteus_HL,Scrophularia_nodosa_HL,Vaccinium_myrtillus_HL,Vaccinium_oxycoccos_HL,Vaccinium_vitis_idaea_HL,Typha_latifolia_HL,Campylopus_flexuosus_ML,Campylopus_pyriformis_ML,Dicranella_cerviculata_ML,Dicranodontium_denudatum_ML,Dicranum_flagellare_ML,Dicranum_scoparia_ML,Fuscocephaloziopsis_connivens_ML,Hypnum_cupressiforme_ML,Hypnum_jutlandicum_ML,Lepidozia_reptans_ML,Leucobryum_glaucum_ML,Lophocolea_heterophylla_ML,Mnium_hornum_ML,Pohlia_nutans_ML,Polytrichum_formosum_ML,Riccardia_latifrons_ML,Sphagnum_auriculatum_ML,Sphagnum_capillifolium_ML,Sphagnum_cuspidatum_ML,Sphagnum_fallax_ML,Sphagnum_fimbriatum_ML,Sphagnum_girgensohnii_ML,Sphagnum_russowii_ML,Sphagnum_squarrosum_ML,Tetraphis_pellucida_ML,Betula_pendula_SL,Betula_pubescens_SL,Fagus_sylvatica_SL,Frangula_alnus_SL,Picea_abies_SL,Pinus_sylvestris_SL,Salix_aurita_SL
11,Meu_trock,WM11,MT11,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Meu_trock,WM12,MT12,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,38,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
13,Meu_trock,WM13,MT13,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,18,0,0.1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Meu_trock,WM14,MT14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meu_trock,WM15,MT15,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Meu_trock,WM16,MT16,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Meu_trock,WM17,MT17,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Meu_trock,WM18,MT18,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Meu_trock,WM19,MT19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Meu_trock,WM20,MT20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Meu_trock,WM21,MT21,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Meu_trock,WM22,MT22,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,63,0,0.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
23,Meu_trock,WM23,MT23,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Meu_trock,WM24,MT24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
25,Meu_trock,WM25,MT25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0.5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,38,0,0,0,0,0.1,0,0,0,0.1,0,0.5,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
26,Meu_trock,WM26,MT26,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.5,0,0,0,0,0,0,18,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.1,0,0,0,0,0,18,0,0,0,0,0,0.1,0,0,0,0,0,0,0,38,0,0,0
27,Meu_trock,MO1,MT27,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,38,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
28,Meu_trock,MO2,MT28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
29,Meu_trock,MO3,MT29,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0.5,0,0,0,0,0,0,18,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
30,Meu_trock,MO4,MT30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,4.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
31,Meu_trock,MO5,MT31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
32,Meu_trock,MO6,MT32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.5,0
33,Meu_trock,MO7,MT33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
34,Meu_trock,MO8,MT34,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
35,Meu_trock,MO9,MT35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
36,Meu_trock,MO10,MT36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Meu_trock,MO11,MT37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4.5,0
38,Meu_trock,MO12,MT38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Meu_trock,MO13,MT39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,38,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0.5,0
40,Meu_trock,MO14,MT40,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,18,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
41,Meu_trock,MO15,MT41,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.1,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
42,Meu_trock,MO16,MT42,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Meu_trock,MO17,MT43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Meu_trock,MO18,MT44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Meu_trock,MO19,MT45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Meu_trock,MO20,MT46,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Meu_trock,MO21,MT47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Meu_trock,MO22,MT48,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
49,Meu_trock,MO23,MT49,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
50,Meu_trock,MO24,MT50,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Meu_trock,MO25,MT51,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
52,Meu_trock,MO26,MT52,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
53,Meu_trock,MO27,MT53,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Meu_trock,NM1,MT54,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Meu_trock,NM2,MT55,0,0,4.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,63,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Meu_trock,NM3,MT56,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,63,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Meu_trock,NM4,MT57,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,4.5,0,0.1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Meu_trock,NM5,MT58,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,4.5,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
59,Meu_trock,NM6,MT59,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Meu_trock,NM7,MT60,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0.1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
61,Meu_trock,NM8,MT61,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Meu_trock,NM9,MT62,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Meu_trock,NM10,MT63,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,88,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
64,Meu_trock,NM11,MT64,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0
65,Meu_trock,NM12,MT65,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
66,Meu_trock,NM13,MT66,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
67,Meu_trock,NM14,MT67,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4.5,0
68,Meu_trock,NM15,MT68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,4.5,0,0.1,0,0,0,0,0,0,4.5,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,4.5,0
69,Meu_trock,NM16,MT69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
