#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/08/2025 00:00:00,4.63,0.00,,,,
2,05/08/2025 00:10:00,4.59,0.00,,,,
3,05/08/2025 00:20:00,4.24,0.00,,,,
4,05/08/2025 00:30:00,4.20,0.00,,,,
5,05/08/2025 00:40:00,4.07,0.00,,,,
6,05/08/2025 00:50:00,3.94,0.00,,,,
7,05/08/2025 01:00:00,3.99,0.00,,,,
8,05/08/2025 01:10:00,3.82,0.00,,,,
9,05/08/2025 01:20:00,3.64,0.00,,,,
10,05/08/2025 01:30:00,3.47,0.00,,,,
11,05/08/2025 01:40:00,3.43,0.00,,,,
12,05/08/2025 01:50:00,3.34,0.00,,,,
13,05/08/2025 02:00:00,3.17,0.00,,,,
14,05/08/2025 02:10:00,3.04,0.00,,,,
15,05/08/2025 02:20:00,2.87,0.00,,,,
16,05/08/2025 02:30:00,2.74,0.00,,,,
17,05/08/2025 02:40:00,2.40,0.00,,,,
18,05/08/2025 02:50:00,2.19,0.00,,,,
19,05/08/2025 03:00:00,2.01,0.00,,,,
20,05/08/2025 03:10:00,2.06,0.00,,,,
21,05/08/2025 03:20:00,1.93,0.00,,,,
22,05/08/2025 03:30:00,1.67,0.00,,,,
23,05/08/2025 03:40:00,1.54,0.00,,,,
24,05/08/2025 03:50:00,1.41,0.00,,,,
25,05/08/2025 04:00:00,1.41,0.00,,,,
26,05/08/2025 04:10:00,1.63,0.00,,,,
27,05/08/2025 04:20:00,1.76,0.00,,,,
28,05/08/2025 04:30:00,1.71,0.00,,,,
29,05/08/2025 04:40:00,1.46,0.42,,,,
30,05/08/2025 04:50:00,1.41,0.00,,,,
31,05/08/2025 05:00:00,1.37,1.90,,,,
32,05/08/2025 05:10:00,1.41,9.57,,,,
33,05/08/2025 05:20:00,1.20,40.72,,,,
34,05/08/2025 05:30:00,1.24,121.96,,,,
35,05/08/2025 05:40:00,1.24,233.92,,,,
36,05/08/2025 05:50:00,1.76,361.76,,,,
37,05/08/2025 06:00:00,2.14,538.72,,,,
38,05/08/2025 06:10:00,2.53,780.16,,,,
39,05/08/2025 06:20:00,2.96,1058.88,,,,
40,05/08/2025 06:30:00,3.60,1491.84,,,,
41,05/08/2025 06:40:00,3.90,1902.08,,,,
42,05/08/2025 06:50:00,4.29,2431.36,,,,
43,05/08/2025 07:00:00,4.80,3379.20,,,,
44,05/08/2025 07:10:00,5.57,5070.08,,,,
45,05/08/2025 07:20:00,6.43,6474.24,,,,
46,05/08/2025 07:30:00,6.95,6929.92,,,,
47,05/08/2025 07:40:00,7.29,7029.76,,,,
48,05/08/2025 07:50:00,7.38,7265.28,,,,
49,05/08/2025 08:00:00,7.76,8023.04,,,,
50,05/08/2025 08:10:00,8.41,8524.80,,,,
51,05/08/2025 08:20:00,8.96,9285.12,,,,
52,05/08/2025 08:30:00,9.39,10201.60,,,,
53,05/08/2025 08:40:00,9.99,9712.64,,,,
54,05/08/2025 08:50:00,10.51,11724.80,,,,
55,05/08/2025 09:00:00,14.50,11192.32,,,,
56,05/08/2025 09:10:00,12.44,17592.32,,,,
57,05/08/2025 09:20:00,12.10,9664.00,,,,
58,05/08/2025 09:30:00,11.45,9331.20,,,,
59,05/08/2025 09:40:00,12.22,15027.20,,,,
60,05/08/2025 09:50:00,17.76,25763.84,,,,
61,05/08/2025 10:00:00,16.47,11847.68,,,,
62,05/08/2025 10:10:00,16.00,15027.20,,,,
63,05/08/2025 10:20:00,15.10,19338.24,,,,
64,05/08/2025 10:30:00,20.93,54067.20,,,,
65,05/08/2025 10:40:00,25.99,60948.48,,,,
66,05/08/2025 10:50:00,28.40,63938.56,,,,
67,05/08/2025 11:00:00,27.45,59535.36,,,,
68,05/08/2025 11:10:00,26.08,51957.76,,,,
69,05/08/2025 11:20:00,24.84,47861.76,,,,
70,05/08/2025 11:30:00,25.39,55029.76,,,,
71,05/08/2025 11:40:00,25.48,53616.64,,,,
72,05/08/2025 11:50:00,25.05,58531.84,,,,
73,05/08/2025 12:00:00,27.11,59904.00,,,,
74,05/08/2025 12:10:00,28.95,60149.76,,,,
75,05/08/2025 12:20:00,26.51,56688.64,,,,
76,05/08/2025 12:30:00,26.85,57098.24,,,,
77,05/08/2025 12:40:00,27.20,62689.28,,,,
78,05/08/2025 12:50:00,27.37,59944.96,,,,
79,05/08/2025 13:00:00,21.19,28026.88,,,,
80,05/08/2025 13:10:00,24.62,57569.28,,,,
81,05/08/2025 13:20:00,24.75,26531.84,,,,
82,05/08/2025 13:30:00,20.03,48599.04,,,,
83,05/08/2025 13:40:00,23.25,51814.40,,,,
84,05/08/2025 13:50:00,24.11,55521.28,,,,
85,05/08/2025 14:00:00,26.38,61603.84,,,,
86,05/08/2025 14:10:00,27.88,61624.32,,,,
87,05/08/2025 14:20:00,30.28,65126.40,,,,
88,05/08/2025 14:30:00,29.43,60375.04,,,,
89,05/08/2025 14:40:00,29.81,57446.40,,,,
90,05/08/2025 14:50:00,27.84,52408.32,,,,
91,05/08/2025 15:00:00,27.80,51773.44,,,,
92,05/08/2025 15:10:00,26.08,50892.80,,,,
93,05/08/2025 15:20:00,25.44,44236.80,,,,
94,05/08/2025 15:30:00,25.91,48107.52,,,,
95,05/08/2025 15:40:00,25.91,49274.88,,,,
96,05/08/2025 15:50:00,27.71,53596.16,,,,
97,05/08/2025 16:00:00,26.55,19860.48,,,,
98,05/08/2025 16:10:00,18.40,21360.64,,,,
99,05/08/2025 16:20:00,15.74,12467.20,,,,
100,05/08/2025 16:30:00,15.57,12190.72,,,,
101,05/08/2025 16:40:00,14.88,11381.76,,,,
102,05/08/2025 16:50:00,16.86,15825.92,,,,
103,05/08/2025 17:00:00,18.74,33904.64,,,,
104,05/08/2025 17:10:00,23.72,30935.04,,,,
105,05/08/2025 17:20:00,14.67,8048.64,,,,
106,05/08/2025 17:30:00,14.03,8957.44,,,,
107,05/08/2025 17:40:00,14.03,7749.12,,,,
108,05/08/2025 17:50:00,15.01,24033.28,,,,
109,05/08/2025 18:00:00,15.74,8245.76,,,,
110,05/08/2025 18:10:00,13.68,6440.96,,,,
111,05/08/2025 18:20:00,13.08,8212.48,,,,
