#,Date-Time (CEST),Temperature   (°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,05/02/2025 00:00:00,10.25,0.00,,,,
2,05/02/2025 00:10:00,9.95,0.00,,,,
3,05/02/2025 00:20:00,10.08,0.00,,,,
4,05/02/2025 00:30:00,10.04,0.00,,,,
5,05/02/2025 00:40:00,9.86,0.00,,,,
6,05/02/2025 00:50:00,9.78,0.00,,,,
7,05/02/2025 01:00:00,9.91,0.00,,,,
8,05/02/2025 01:10:00,9.78,0.00,,,,
9,05/02/2025 01:20:00,9.82,0.00,,,,
10,05/02/2025 01:30:00,9.99,0.00,,,,
11,05/02/2025 01:40:00,9.99,0.00,,,,
12,05/02/2025 01:50:00,9.82,0.00,,,,
13,05/02/2025 02:00:00,9.74,0.00,,,,
14,05/02/2025 02:10:00,9.48,0.00,,,,
15,05/02/2025 02:20:00,9.74,0.00,,,,
16,05/02/2025 02:30:00,9.65,0.00,,,,
17,05/02/2025 02:40:00,9.44,0.00,,,,
18,05/02/2025 02:50:00,9.35,0.00,,,,
19,05/02/2025 03:00:00,9.18,0.00,,,,
20,05/02/2025 03:10:00,9.01,0.00,,,,
21,05/02/2025 03:20:00,9.26,0.00,,,,
22,05/02/2025 03:30:00,9.39,0.00,,,,
23,05/02/2025 03:40:00,10.08,0.00,,,,
24,05/02/2025 03:50:00,10.12,0.00,,,,
25,05/02/2025 04:00:00,10.38,0.00,,,,
26,05/02/2025 04:10:00,10.34,0.00,,,,
27,05/02/2025 04:20:00,9.95,0.00,,,,
28,05/02/2025 04:30:00,9.86,0.00,,,,
29,05/02/2025 04:40:00,9.99,0.00,,,,
30,05/02/2025 04:50:00,9.95,0.00,,,,
31,05/02/2025 05:00:00,9.95,0.00,,,,
32,05/02/2025 05:10:00,9.56,0.83,,,,
33,05/02/2025 05:20:00,9.86,7.09,,,,
34,05/02/2025 05:30:00,10.08,33.05,,,,
35,05/02/2025 05:40:00,10.04,116.68,,,,
36,05/02/2025 05:50:00,10.21,280.24,,,,
37,05/02/2025 06:00:00,10.46,591.84,,,,
38,05/02/2025 06:10:00,10.51,1069.44,,,,
39,05/02/2025 06:20:00,10.34,1277.76,,,,
40,05/02/2025 06:30:00,10.29,1472.00,,,,
41,05/02/2025 06:40:00,10.81,2661.12,,,,
42,05/02/2025 06:50:00,10.89,2202.24,,,,
43,05/02/2025 07:00:00,11.49,3616.00,,,,
44,05/02/2025 07:10:00,11.97,3386.88,,,,
45,05/02/2025 07:20:00,13.17,3763.20,,,,
46,05/02/2025 07:30:00,13.68,4133.12,,,,
47,05/02/2025 07:40:00,14.24,4567.04,,,,
48,05/02/2025 07:50:00,13.85,4844.80,,,,
49,05/02/2025 08:00:00,14.84,5391.36,,,,
50,05/02/2025 08:10:00,15.74,8453.12,,,,
51,05/02/2025 08:20:00,18.87,13803.52,,,,
52,05/02/2025 08:30:00,20.16,10042.88,,,,
53,05/02/2025 08:40:00,20.63,10101.76,,,,
54,05/02/2025 08:50:00,20.63,7480.32,,,,
55,05/02/2025 09:00:00,19.82,6748.16,,,,
56,05/02/2025 09:10:00,19.82,5975.04,,,,
57,05/02/2025 09:20:00,20.72,5806.08,,,,
58,05/02/2025 09:30:00,21.02,5378.56,,,,
59,05/02/2025 09:40:00,22.52,5898.24,,,,
60,05/02/2025 09:50:00,32.13,52224.00,,,,
61,05/02/2025 10:00:00,36.21,54272.00,,,,
62,05/02/2025 10:10:00,38.05,55910.40,,,,
63,05/02/2025 10:20:00,37.36,57466.88,,,,
64,05/02/2025 10:30:00,39.51,58961.92,,,,
65,05/02/2025 10:40:00,39.12,60006.40,,,,
66,05/02/2025 10:50:00,38.95,61317.12,,,,
67,05/02/2025 11:00:00,40.37,62730.24,,,,
68,05/02/2025 11:10:00,42.77,63754.24,,,,
69,05/02/2025 11:20:00,40.54,65208.32,,,,
70,05/02/2025 11:30:00,40.84,66293.76,,,,
71,05/02/2025 11:40:00,41.05,66273.28,,,,
72,05/02/2025 11:50:00,45.34,73912.32,,,,
73,05/02/2025 12:00:00,32.39,12958.72,,,,
74,05/02/2025 12:10:00,36.29,51384.32,,,,
75,05/02/2025 12:20:00,40.02,71495.68,,,,
76,05/02/2025 12:30:00,42.08,71618.56,,,,
77,05/02/2025 12:40:00,41.65,68116.48,,,,
78,05/02/2025 12:50:00,41.78,70758.40,,,,
79,05/02/2025 13:00:00,43.80,71393.28,,,,
80,05/02/2025 13:10:00,43.41,69713.92,,,,
81,05/02/2025 13:20:00,43.03,73912.32,,,,
82,05/02/2025 13:30:00,43.03,73379.84,,,,
83,05/02/2025 13:40:00,42.60,69795.84,,,,
84,05/02/2025 13:50:00,37.11,70144.00,,,,
85,05/02/2025 14:00:00,40.19,67522.56,,,,
86,05/02/2025 14:10:00,39.47,13777.92,,,,
87,05/02/2025 14:20:00,37.41,14080.00,,,,
88,05/02/2025 14:30:00,35.65,63754.24,,,,
89,05/02/2025 14:40:00,42.55,60456.96,,,,
90,05/02/2025 14:50:00,32.56,13035.52,,,,
91,05/02/2025 15:00:00,32.69,21135.36,,,,
92,05/02/2025 15:10:00,38.44,56586.24,,,,
93,05/02/2025 15:20:00,40.75,52879.36,,,,
94,05/02/2025 15:30:00,39.81,48435.20,,,,
95,05/02/2025 15:40:00,34.19,48599.04,,,,
96,05/02/2025 15:50:00,30.59,9589.76,,,,
97,05/02/2025 16:00:00,28.78,12272.64,,,,
98,05/02/2025 16:10:00,30.28,15206.40,,,,
99,05/02/2025 16:20:00,33.25,39741.44,,,,
100,05/02/2025 16:30:00,38.18,39700.48,,,,
101,05/02/2025 16:40:00,36.51,34908.16,,,,
102,05/02/2025 16:50:00,37.92,33792.00,,,,
103,05/02/2025 17:00:00,36.38,29624.32,,,,
104,05/02/2025 17:10:00,33.59,6807.04,,,,
105,05/02/2025 17:20:00,26.68,5918.72,,,,
106,05/02/2025 17:30:00,26.90,8419.84,,,,
107,05/02/2025 17:40:00,29.73,15134.72,,,,
108,05/02/2025 17:50:00,28.40,8079.36,,,,
109,05/02/2025 18:00:00,27.45,8688.64,,,,
110,05/02/2025 18:10:00,26.94,7892.48,,,,
111,05/02/2025 18:20:00,27.07,6517.76,,,,
112,05/02/2025 18:30:00,25.82,4087.04,,,,
113,05/02/2025 18:40:00,26.38,5762.56,,,,
114,05/02/2025 18:50:00,27.07,6720.00,,,,
115,05/02/2025 19:00:00,25.69,3609.60,,,,
116,05/02/2025 19:10:00,24.62,3038.72,,,,
117,05/02/2025 19:20:00,24.11,2595.84,,,,
118,05/02/2025 19:30:00,23.29,2455.68,,,,
119,05/02/2025 19:40:00,22.65,2060.16,,,,
120,05/02/2025 19:50:00,21.83,1856.64,,,,
121,05/02/2025 20:00:00,21.15,1099.20,,,,
122,05/02/2025 20:10:00,20.07,792.00,,,,
123,05/02/2025 20:20:00,18.87,502.56,,,,
124,05/02/2025 20:30:00,17.97,243.36,,,,
125,05/02/2025 20:40:00,17.72,110.72,,,,
126,05/02/2025 20:50:00,17.54,36.67,,,,
127,05/02/2025 21:00:00,17.03,9.80,,,,
128,05/02/2025 21:10:00,16.34,1.66,,,,
129,05/02/2025 21:20:00,15.91,0.00,,,,
130,05/02/2025 21:30:00,16.13,0.00,,,,
131,05/02/2025 21:40:00,16.73,0.00,,,,
132,05/02/2025 21:50:00,16.81,0.00,,,,
133,05/02/2025 22:00:00,16.64,0.00,,,,
134,05/02/2025 22:10:00,16.39,0.00,,,,
135,05/02/2025 22:20:00,15.91,0.00,,,,
136,05/02/2025 22:30:00,15.36,0.00,,,,
137,05/02/2025 22:40:00,14.63,0.00,,,,
138,05/02/2025 22:50:00,13.77,0.00,,,,
139,05/02/2025 23:00:00,14.58,0.00,,,,
140,05/02/2025 23:10:00,14.37,0.00,,,,
141,05/02/2025 23:20:00,14.15,0.00,,,,
142,05/02/2025 23:30:00,13.68,0.00,,,,
143,05/02/2025 23:40:00,13.17,0.00,,,,
144,05/02/2025 23:50:00,12.57,0.00,,,,
145,05/03/2025 00:00:00,12.14,0.00,,,,
146,05/03/2025 00:10:00,12.10,0.00,,,,
147,05/03/2025 00:20:00,12.05,0.00,,,,
148,05/03/2025 00:30:00,12.05,0.00,,,,
149,05/03/2025 00:40:00,11.97,0.00,,,,
150,05/03/2025 00:50:00,11.45,0.00,,,,
151,05/03/2025 01:00:00,11.32,0.00,,,,
152,05/03/2025 01:10:00,11.37,0.00,,,,
153,05/03/2025 01:20:00,11.45,0.00,,,,
154,05/03/2025 01:30:00,11.19,0.00,,,,
155,05/03/2025 01:40:00,11.15,0.00,,,,
156,05/03/2025 01:50:00,10.77,0.00,,,,
157,05/03/2025 02:00:00,10.68,0.00,,,,
